Effective area (cm^2) for 13 shell HERO module vs. E (keV) and off-axis angle (arcmin=am) 
    E      0 am    1 am    2 am    3 am    4 am    5 am    6 am    7 am    8 am    9 am   10 am   11 am   12 am 
  17.50   11.23    9.85    8.44    7.03    5.61    4.30    3.24    2.47    1.97    1.59    1.29    1.05    0.85 
  17.75   11.25    9.86    8.45    7.04    5.61    4.30    3.24    2.47    1.97    1.60    1.29    1.05    0.85 
  18.00   11.26    9.87    8.46    7.05    5.62    4.30    3.24    2.47    1.97    1.60    1.29    1.05    0.85 
  18.25   11.27    9.88    8.47    7.06    5.63    4.31    3.25    2.47    1.98    1.60    1.29    1.06    0.85 
  18.50   11.29    9.89    8.48    7.06    5.63    4.31    3.25    2.48    1.98    1.60    1.30    1.06    0.85 
  18.75   11.30    9.91    8.49    7.07    5.63    4.31    3.25    2.48    1.98    1.60    1.30    1.06    0.85 
  19.00   11.31    9.92    8.49    7.08    5.64    4.31    3.25    2.48    1.98    1.60    1.30    1.06    0.85 
  19.25   11.32    9.93    8.50    7.08    5.64    4.32    3.25    2.48    1.98    1.60    1.30    1.06    0.85 
  19.50   11.33    9.94    8.51    7.09    5.64    4.32    3.25    2.48    1.98    1.61    1.30    1.06    0.86 
  19.75   11.34    9.94    8.52    7.09    5.65    4.32    3.25    2.48    1.99    1.61    1.30    1.06    0.86 
  20.00   11.36    9.95    8.52    7.10    5.65    4.32    3.25    2.49    1.99    1.61    1.30    1.06    0.86 
  20.25   11.37    9.96    8.53    7.10    5.65    4.32    3.25    2.49    1.99    1.61    1.30    1.06    0.86 
  20.50   11.38    9.97    8.54    7.11    5.65    4.32    3.25    2.49    1.99    1.61    1.30    1.06    0.86 
  20.75   11.38    9.98    8.54    7.11    5.66    4.32    3.25    2.49    1.99    1.61    1.31    1.06    0.86 
  21.00   11.39    9.99    8.55    7.11    5.66    4.32    3.25    2.49    1.99    1.61    1.31    1.07    0.86 
  21.25   11.40    9.99    8.55    7.12    5.66    4.32    3.24    2.49    1.99    1.61    1.31    1.07    0.86 
  21.50   11.41   10.00    8.56    7.12    5.66    4.31    3.24    2.49    1.99    1.61    1.31    1.07    0.86 
  21.75   11.42   10.01    8.56    7.12    5.66    4.31    3.24    2.49    1.99    1.61    1.31    1.07    0.86 
  22.00   11.43   10.01    8.57    7.12    5.66    4.31    3.23    2.49    1.99    1.61    1.31    1.07    0.86 
  22.25   11.43   10.02    8.57    7.13    5.66    4.30    3.22    2.49    1.99    1.62    1.31    1.07    0.86 
  22.50   11.44   10.03    8.58    7.13    5.65    4.30    3.21    2.49    1.99    1.62    1.31    1.07    0.86 
  22.75   11.45   10.03    8.58    7.13    5.65    4.29    3.20    2.49    1.99    1.62    1.31    1.07    0.86 
  23.00   11.46   10.04    8.58    7.13    5.65    4.28    3.19    2.49    1.99    1.62    1.31    1.07    0.86 
  23.25   11.46   10.04    8.59    7.13    5.64    4.27    3.18    2.49    1.99    1.62    1.31    1.07    0.86 
  23.50   11.47   10.05    8.59    7.13    5.64    4.26    3.17    2.48    1.99    1.62    1.31    1.07    0.86 
  23.75   11.47   10.05    8.59    7.13    5.63    4.24    3.16    2.48    1.99    1.62    1.31    1.07    0.86 
  24.00   11.48   10.06    8.60    7.13    5.62    4.22    3.15    2.48    1.99    1.62    1.31    1.07    0.86 
  24.25   11.49   10.06    8.60    7.13    5.61    4.20    3.14    2.47    1.99    1.62    1.31    1.07    0.86 
  24.50   11.49   10.06    8.60    7.13    5.60    4.17    3.13    2.47    1.99    1.61    1.31    1.07    0.86 
  24.75   11.50   10.07    8.60    7.12    5.59    4.15    3.11    2.46    1.99    1.61    1.31    1.07    0.86 
  25.00   11.50   10.07    8.60    7.12    5.57    4.12    3.10    2.46    1.98    1.61    1.31    1.07    0.86 
  25.25   11.50   10.08    8.60    7.12    5.55    4.09    3.08    2.45    1.98    1.61    1.31    1.07    0.86 
  25.50   11.51   10.08    8.60    7.11    5.53    4.06    3.07    2.44    1.98    1.61    1.31    1.07    0.86 
  25.75   11.51   10.08    8.60    7.11    5.51    4.03    3.05    2.43    1.97    1.61    1.31    1.07    0.86 
  26.00   11.52   10.08    8.60    7.10    5.48    4.00    3.03    2.42    1.97    1.61    1.31    1.07    0.86 
  26.25   11.52   10.09    8.60    7.09    5.44    3.96    3.02    2.41    1.96    1.61    1.31    1.07    0.86 
  26.50   11.52   10.09    8.60    7.08    5.40    3.93    3.00    2.40    1.95    1.60    1.31    1.07    0.86 
  26.75   11.53   10.09    8.60    7.07    5.36    3.90    2.98    2.39    1.95    1.60    1.30    1.07    0.86 
  27.00   11.53   10.09    8.60    7.06    5.32    3.86    2.96    2.38    1.94    1.59    1.30    1.07    0.86 
  27.25   11.53   10.09    8.60    7.04    5.28    3.83    2.94    2.37    1.93    1.59    1.30    1.07    0.86 
  27.50   11.54   10.09    8.59    7.02    5.23    3.79    2.92    2.36    1.92    1.58    1.30    1.06    0.86 
  27.75   11.54   10.10    8.59    6.99    5.18    3.76    2.90    2.34    1.91    1.58    1.30    1.06    0.86 
  28.00   11.54   10.10    8.59    6.96    5.13    3.72    2.88    2.33    1.90    1.57    1.29    1.06    0.86 
  28.25   11.54   10.10    8.58    6.93    5.08    3.68    2.86    2.31    1.89    1.56    1.29    1.06    0.86 
  28.50   11.54   10.10    8.58    6.89    5.02    3.65    2.84    2.30    1.88    1.55    1.28    1.06    0.86 
  28.75   11.54   10.10    8.57    6.84    4.97    3.61    2.82    2.28    1.87    1.55    1.28    1.06    0.86 
